time,sym,price,volume
2017-04-21 16:31:08.884052,AAPL,142.13,1458930
2017-04-21 16:32:11.143758,AAPL,142.12,5425209
2017-04-21 16:33:30.894829,AAPL,142.27,1458930
2017-04-21 16:34:33.174304,AAPL,142.18,5425209
2017-04-21 16:35:35.346702,AAPL,142.27,231676
2017-04-21 16:36:37.462734,AAPL,142.04,1458930
2017-04-21 16:37:39.654139,AAPL,142.27,5425209
2017-04-21 16:38:42.892510,AAPL,142.04,17481
2017-04-21 16:39:45.363157,AAPL,142.27,231676
2017-04-21 16:40:47.510647,AAPL,142.27,231676
2017-04-21 16:41:49.961483,AAPL,142.18,231676
2017-04-21 16:42:52.687849,AAPL,142.18,231676
2017-04-21 16:43:55.356425,AAPL,142.27,1458930
2017-04-21 16:44:57.364264,AAPL,142.18,1458930
2017-04-21 16:45:59.749617,AAPL,142.27,231676
2017-04-21 16:47:01.778697,AAPL,142.27,17481
2017-04-21 16:48:03.809135,AAPL,142.12,1458930
2017-04-21 16:49:05.815279,AAPL,142.27,1458930
2017-04-21 16:50:09.810276,AAPL,142.27,1458930
2017-04-21 16:51:12.164990,AAPL,142.27,17245745
2017-04-21 16:52:14.180855,AAPL,142.12,17245745
2017-04-21 16:53:16.434722,AAPL,142.04,231676
2017-04-21 16:54:18.625466,AAPL,142.04,17245745
2017-04-21 16:55:21.411252,AAPL,142.12,231676
2017-04-21 16:56:23.738117,AAPL,142.27,231676
2017-04-21 16:57:26.105705,AAPL,142.27,231676
2017-04-21 16:58:28.366492,AAPL,142.27,1458930
2017-04-21 16:59:33.800916,AAPL,142.27,1458930
2017-04-21 17:00:37.008744,AAPL,142.12,17245745
2017-04-21 17:01:39.114439,AAPL,142.27,17245745
2017-04-21 17:02:41.258176,AAPL,142.27,17481
2017-04-21 17:03:43.586630,AAPL,142.27,17245745
2017-04-21 17:05:36.008019,AAPL,142.27,17267271
2017-04-21 17:06:38.593075,AAPL,142.27,1458930
2017-04-21 17:07:43.994781,AAPL,142.27,17245745
2017-04-21 17:08:46.271032,AAPL,142.27,17481
2017-04-21 17:09:48.530009,AAPL,142.27,17245745
2017-04-21 17:10:50.701024,AAPL,142.04,1458930
2017-04-21 17:11:52.844180,AAPL,142.04,1458930
2017-04-21 17:12:54.976907,AAPL,142.04,1458930
2017-04-21 17:13:58.009335,AAPL,142.27,1458930
2017-04-21 17:15:04.165246,AAPL,142.04,17267271
2017-04-21 17:16:25.656666,AAPL,142.27,1458930
2017-04-21 17:17:30.843991,AAPL,142.27,1458930
2017-04-21 17:18:33.922589,AAPL,142.27,17267271
2017-04-21 17:19:36.498097,AAPL,142.27,1458930
2017-04-21 17:20:39.111574,AAPL,142.04,17245745
2017-04-21 17:21:41.795869,AAPL,142.27,17267271
2017-04-21 17:22:43.913012,AAPL,142.27,17481
2017-04-21 17:23:46.176620,AAPL,142.27,17481
2017-04-21 17:24:55.841689,AAPL,142.04,17267271
